,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Daerah,Kriteria Utama,Opini BPK atas LKPD,Penetapan Perda APBD Tepat Waktu,Penggunaan e-procurement,Memenuhi/Tidak Memenuhi Kriteria Utama,Kategori Kinerja,Kesehatan Fiskal dan Pengelolaan Keuangan Daerah,Pelayanan Dasar Publik,Infrastruktur,Kesehatan,Pendidikan,Pelayanan Pemerintahan Umum,Inovasi Pelayanan Publik,Kemudahan Investasi,Penyelenggaraan Pemerintahan,Perencanaan Daerah,Sistem Akuntabilitas Kinerja Instansi Pemerintah,Kesejahteraan Masyarakat
1,Provinsi Aceh,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"72,21",-,"68,83","61,96","67,58",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,03"
2,Kab. Aceh Barat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,30",-,"74,61","68,75","67,86",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,57"
3,Kab. Aceh Besar,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"42,68",-,"71,93","79,08","56,03",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,49"
4,Kab. Aceh Selatan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"57,63",-,"70,03","76,15","78,42",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,52"
5,Kab. Aceh Singkil,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,98",-,"65,62","76,03","78,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,"69,32"
6,Kab. Aceh Tengah,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"39,13",-,"67,44","64,55","74,57",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,49"
7,Kab. Aceh Tenggara,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,10",-,"50,41","65,98","81,85",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,70"
8,Kab. Aceh Timur,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"58,09",-,"57,19","58,85","79,68",-,Tidak,Tidak,Tidak,Tidak,Tidak,"84,93"
9,Kab. Aceh Utara,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"56,99",-,"54,09","62,60","66,20",-,Tidak,Tidak,Tidak,Tidak,Tidak,"45,67"
10,Kab. Bireuen,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"46,60",-,"58,27","52,16","59,71",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,81"
11,Kab. Pidie                                        ,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"56,42",-,"60,56","67,11","65,91",-,Tidak,Tidak,Tidak,Tidak,Tidak,"45,47"
12,Kab. Simeulue,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,08",-,"60,86","71,30","79,75",-,Tidak,Tidak,Tidak,Tidak,Tidak,"68,88"
13,Kota Banda Aceh,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,95",-,"73,18","61,99","81,03",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,31"
14,Kota Sabang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,40",-,"70,85","76,79","71,29",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,86"
15,Kota Langsa,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"52,43",-,"58,25","81,59","57,95",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,84"
16,Kota Lhokseumawe,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"53,94",-,"71,84","67,69","72,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,"59,76"
17,Kab. Gayo Lues,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,41",-,"66,61","78,54","76,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,46"
18,Kab. Aceh Barat Daya,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"62,28",-,"60,71","72,06","68,87",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,32"
19,Kab. Aceh Jaya,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"64,14",-,"57,87","81,20","75,45",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,23"
20,Kab. Nagan Raya,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"51,75",-,"60,10","62,43","71,26",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,85"
21,Kab. Aceh Tamiang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"61,20",-,"64,44","74,46","78,53",-,Tidak,Tidak,Tidak,Tidak,Tidak,"54,89"
22,Kab. Bener Meriah,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"45,40",-,"67,05","75,02","85,62",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,42"
23,Kab. Pidie Jaya,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,51",-,"39,12","72,67","76,83",-,Tidak,Tidak,Tidak,Tidak,Tidak,"65,19"
24,Kota Subulussalam,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"75,46",-,"51,09","43,42","67,72",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,60"
25,Provinsi Sumatera Utara,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"54,65",-,"68,79","75,34","70,14",-,Tidak,Tidak,Tidak,Tidak,Tidak,"50,95"
26,Kab. Asahan,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"46,57",-,"61,38","66,55","54,07",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,01"
27,Kab. Dairi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"40,52",-,"66,05","81,55","62,51",-,Tidak,Tidak,Tidak,Tidak,Tidak,"65,39"
28,Kab. Deli Serdang,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"50,96",-,"62,17","79,80","68,09",-,Tidak,Tidak,Tidak,Tidak,Tidak,"69,49"
29,Kab. Karo,-,TMP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"45,70",-,"56,36","70,08","78,92",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,26"
30,Kab. Labuhanbatu,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"58,11",-,"60,83","64,72","65,89",-,Tidak,Tidak,Tidak,Tidak,Tidak,"53,26"
31,Kab. Langkat,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"46,07",-,"61,37","74,26","66,72",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,49"
32,Kab. Mandailing Natal,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"54,94",-,"53,45","78,76","72,68",-,Tidak,Tidak,Tidak,Tidak,Tidak,"61,91"
33,Kab. Nias,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"57,02",-,"34,10","74,02","82,27",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,63"
34,Kab. Simalungun,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"52,60",-,"60,21","78,91","60,44",-,Tidak,Tidak,Tidak,Tidak,Tidak,"58,87"
35,Kab. Tapanuli Selatan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"49,28",-,"38,41","59,03","64,47",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,12"
36,Kab. Tapanuli Tengah,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"49,43",-,"57,99","64,07","68,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,"61,04"
37,Kab. Tapanuli Utara,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,47",-,"61,73","67,71","81,25",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,33"
38,Kab. Toba Samosir,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"61,34",-,"54,76","70,74","73,07",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,25"
39,Kota Binjai,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,38",-,"86,30","72,62","48,33",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,47"
40,Kota Medan,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"48,12",-,"79,28","70,85","62,19",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,27"
41,Kota Pematang Siantar,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"64,17",-,"68,04","47,09","64,70",-,Tidak,Tidak,Tidak,Tidak,Tidak,"75,63"
42,Kota Sibolga,-,TMP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"52,15",-,"53,61","71,90","52,55",-,Tidak,Tidak,Tidak,Tidak,Tidak,"48,00"
43,Kota Tanjung Balai,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"50,39",-,"54,93","78,98","46,13",-,Tidak,Tidak,Tidak,Tidak,Tidak,"53,91"
44,Kota Tebing Tinggi,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"59,70",-,"75,16","87,01","60,03",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,20"
45,Kota Padang Sidempuan,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"64,89",-,"38,30","74,59","52,51",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,68"
46,Kab. Pakpak Bharat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,02",-,"74,51","72,08","67,98",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,62"
47,Kab. Nias Selatan,-,TMP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"32,58",-,"44,37","62,51","51,43",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,05"
48,Kab. Humbang Hasundutan,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"63,13",-,"68,59","79,23","71,92",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,51"
49,Kab. Serdang Bedagai,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"54,30",-,"65,24","79,63","71,13",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,89"
50,Kab. Samosir,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"54,90",-,"61,02","87,06","76,10",-,Tidak,Tidak,Tidak,Tidak,Tidak,"49,34"
51,Kab. Batu Bara,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"50,37",-,"61,82","65,31","65,44",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,64"
52,Kab. Padang Lawas,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"53,44",-,"44,99","75,49","55,51",-,Tidak,Tidak,Tidak,Tidak,Tidak,"51,49"
53,Kab. Padang Lawas Utara,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"55,15",-,"62,48","76,47","77,83",-,Tidak,Tidak,Tidak,Tidak,Tidak,"69,79"
54,Kab. Labuhanbatu Selatan,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"73,21",-,"70,02","72,22","73,83",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,19"
55,Kab. Labuhanbatu Utara,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"58,18",-,"76,84","83,00","71,01",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,73"
56,Kab. Nias Utara,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"60,32",-,"40,37","47,91","56,19",-,Tidak,Tidak,Tidak,Tidak,Tidak,"54,63"
57,Kab. Nias Barat,-,TMP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"52,31",-,"43,57","65,44","68,39",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,33"
58,Kota Gunungsitoli                                 ,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"55,05",-,"52,68","67,33","54,45",-,Tidak,Tidak,Tidak,Tidak,Tidak,"43,96"
59,Provinsi Sumatera Barat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"68,08",-,"64,66","70,99","73,74",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,84"
60,Kab. Limapuluh Kota,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,26",-,"44,23","70,61","74,54",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,84"
61,Kab. Agam  ,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"39,73",-,"65,90","77,72","68,60",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,10"
62,Kab. Kepulauan Mentawai,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"53,40",-,"33,27","58,81","63,83",-,Tidak,Tidak,Tidak,Tidak,Tidak,"75,43"
63,Kab. Padang Pariaman    ,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"56,97",-,"59,84","72,44","56,70",-,Tidak,Tidak,Tidak,Tidak,Tidak,"52,36"
64,Kab. Pasaman    ,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,04",-,"50,99","63,40","55,70",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,10"
65,Kab. Pesisir Selatan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"44,00",-,"51,06","55,36","55,93",-,Tidak,Tidak,Tidak,Tidak,Tidak,"65,41"
66,Kab. Sijunjung                                    ,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"52,90",-,"62,30","83,79","76,89",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,78"
67,Kab. Solok,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"44,02",-,"55,24","83,64","67,07",-,Tidak,Tidak,Tidak,Tidak,Tidak,"76,77"
68,Kab. Tanah Datar,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"42,39",-,"53,87","68,13","70,85",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,48"
69,Kota Bukit Tinggi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"67,58",-,"80,74","82,09","55,10",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,91"
70,Kota Padang Panjang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"56,15",-,"60,09","51,48","60,22",-,Tidak,Tidak,Tidak,Tidak,Tidak,"59,97"
71,Kota Padang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,50",-,"72,76","67,38","76,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,"85,88"
72,Kota Payakumbuh,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"45,27",-,"71,12","78,25","32,49",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,18"
73,Kota Sawahlunto,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,93",-,"77,38","93,02","73,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,83"
74,Kota Solok,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,75",-,"66,59","88,61","44,18",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,71"
75,Kota Pariaman,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,62",-,"71,87","52,80","46,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,46"
76,Kab. Pasaman Barat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,72",-,"63,25","65,83","76,43",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,40"
77,Kab. Dharmasraya,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,14",-,"55,08","83,24","65,98",-,Tidak,Tidak,Tidak,Tidak,Tidak,"54,19"
78,Kab. Solok Selatan,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"49,00",-,"58,03","69,15","61,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,"59,07"
79,Provinsi Riau,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,94",-,"70,97","62,61","59,38",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,99"
80,Kab. Bengkalis,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,04",-,"74,42","55,26","65,12",-,Tidak,Tidak,Tidak,Tidak,Tidak,"80,16"
81,Kab. Indragiri Hilir,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"54,66",-,"69,14","40,17","72,66",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,00"
82,Kab. Indragiri Hulu,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,73",-,"61,17","69,63","74,43",-,Tidak,Tidak,Tidak,Tidak,Tidak,"78,48"
83,Kab. Kampar,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,21",-,"68,06","72,10","69,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,74"
84,Kab. Kuantan Singingi,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"42,11",-,"66,14","65,92","64,57",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,66"
85,Kab. Pelalawan,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"54,91",-,"73,91","55,33","64,65",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,69"
86,Kab. Rokan Hilir,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"42,74",-,"66,52","67,59","69,60",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,99"
87,Kab. Rokan Hulu,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"60,70",-,"61,82","74,13","70,94",-,Tidak,Tidak,Tidak,Tidak,Tidak,"57,11"
88,Kab. Siak,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"38,64",-,"72,66","70,65","69,04",-,Tidak,Tidak,Tidak,Tidak,Tidak,"68,74"
89,Kota Dumai,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"73,66",-,"82,77","74,47","56,30",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,32"
90,Kota Pekanbaru,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,61",-,"81,36","82,86","51,34",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,40"
91,Kab. Kepulauan Meranti,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,72",-,"67,95","69,69","80,68",-,Tidak,Tidak,Tidak,Tidak,Tidak,"68,80"
92,Provinsi Jambi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"66,21",-,"67,91","55,74","56,85",-,Tidak,Tidak,Tidak,Tidak,Tidak,"77,47"
93,Kab. Batang Hari,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,80",-,"46,01","81,11","75,99",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,88"
94,Kab. Bungo     ,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"40,40",-,"64,01","75,86","71,59",-,Tidak,Tidak,Tidak,Tidak,Tidak,"54,20"
95,Kab. Kerinci,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"45,14",-,"64,58","65,20","78,27",-,Tidak,Tidak,Tidak,Tidak,Tidak,"91,25"
96,Kab. Merangin,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"50,52",-,"67,87","67,61","69,15",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,99"
97,Kab. Muaro Jambi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,26",-,"72,40","63,23","66,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,"85,88"
98,Kab. Sarolangun,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"66,81",-,"61,44","79,26","65,26",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,49"
99,Kab. Tanjung Jabung Barat,-,TMP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"65,31",-,"64,85","58,34","70,23",-,Tidak,Tidak,Tidak,Tidak,Tidak,"87,04"
100,Kab. Tanjung Jabung Timur,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"64,74",-,"62,91","42,31","76,69",-,Tidak,Tidak,Tidak,Tidak,Tidak,"84,67"
101,Kab. Tebo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,58",-,"78,30","54,05","64,63",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,12"
102,Kota Jambi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,67",-,"61,37","60,43","46,05",-,Tidak,Tidak,Tidak,Tidak,Tidak,"76,03"
103,Kota Sungai Penuh,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"56,42",-,"67,16","62,62","69,45",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,73"
